Year,Block_Num,Treatment,EcolState,Shrub_Encroach,AMAL,AMPA,APRA,ARAD,ARPU9,ASNU4,ATCA2,BAAB,BAMU,BOAR,BOBA2,BOER4,BOWR,CHAL11,CHAMA15,CHIN2,CHSO,CIOC2,CRYPT,CYRE14,DALA3,DAPU7,DEPI,DIWI2,ECCR,ERAB2,ERAGR,ERDI4,Fuzzy_Bluegrass,GUSA2,HEPE,HOFFM,HOHU,HYWI,IPCO2,KALLS,LACO13,LACTU,LEPAB,LIAU4,MAPI,MOCE,MOVE,MUPO2,MUSQ,NAHI,PAHI5,PASP,PECTI,PLPA2,PORTU,PRGL2,RUME2,SPAN3,SPIN2,SPORO,TILA2,UNK,UNK_DICOT,UNK_MONO,URAR,VEEN,VUOC
2020,1,Control,600,High,0,0,0,0,0,0,0,0,283.286119,0,283.286119,0,0,0,0,0,0,0,0,0,0,0,2266.288952,0,0,283.286119,0,0,0,283.286119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133.144476,0,0,0,0,1133.144476,1133.144476,0,0,0,1416.430595,0,849.8583569,566.572238,0,0,0,0
2020,1,Herbicide,600,High,0,0,0,0,0,0,0,0,566.572238,0,0,0,0,0,0,0,0,0,0,283.286119,0,0,15297.45042,0,0,0,0,0,0,283.286119,0,0,0,0,0,0,0,283.286119,0,0,0,0,0,0,0,2266.288952,0,0,0,0,0,283.286119,0,0,0,3966.005666,0,2266.288952,1133.144476,0,0,0,0
2020,2,Control,600,High,0,0,0,0,0,0,0,0,566.572238,0,0,0,0,0,0,0,0,0,0,0,0,0,2549.575071,0,0,0,0,0,0,0,0,0,0,0,0,0,283.286119,0,0,0,0,0,566.572238,0,0,1416.430595,0,0,0,0,0,0,0,0,0,2832.86119,0,849.8583569,566.572238,283.286119,0,0,0
2020,2,Herbicide,600,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6232.294618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3966.005666,0,0,0,0,0,0,0,0,0,3399.433428,0,1416.430595,283.286119,283.286119,283.286119,0,0
2020,3,Control,400,Medium,0,0,0,0,0,0,0,0,283.286119,0,0,0,0,0,0,0,0,0,2832.86119,0,0,0,0,0,0,0,0,283.286119,283.286119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.286119,0,2832.86119,0,0,0,0,0,0,0,0,0,3966.005666,0,2549.575071,566.572238,0,0,0,0
2020,3,Herbicide,400,Medium,0,0,0,0,0,0,283.286119,0,283.286119,0,0,0,0,0,0,0,0,0,2266.288952,0,283.286119,0,283.286119,0,0,0,283.286119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4249.291785,0,283.286119,0,0,0,283.286119,0,0,0,1699.716714,0,2549.575071,1699.716714,283.286119,0,0,283.286119
2020,4,Control,400,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6798.866856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.286119,1416.430595,0,0,0,0,0,0,0,0,0,3682.719547,0,849.8583569,1983.002833,0,283.286119,0,0
2020,4,Herbicide,400,Medium,0,0,0,0,0,0,0,0,566.572238,0,0,0,0,0,0,0,0,0,4532.577904,0,283.286119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.286119,283.286119,0,0,0,0,0,0,0,0,0,5382.436261,0,2266.288952,849.8583569,283.286119,0,0,0
2020,8,Control,400,Medium,0,283.286119,0,0,0,0,0,0,283.286119,0,0,283.286119,0,283.286119,0,0,0,0,1699.716714,0,0,0,1133.144476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8215.29745,0,0,0,13881.01983,283.286119,0,0,0,0,2266.288952,0,3399.433428,849.8583569,283.286119,0,0,0
2020,8,Herbicide,400,Medium,0,0,566.572238,0,0,0,0,0,283.286119,0,0,0,0,283.286119,0,0,0,0,4532.577904,0,0,0,283.286119,0,0,283.286119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17847.0255,0,0,283.286119,9065.155807,283.286119,0,0,0,0,4815.864023,0,9065.155807,849.8583569,1133.144476,0,0,0
2020,9,Control,400,Medium,0,0,0,0,0,0,0,0,1133.144476,0,0,0,0,0,0,0,0,0,283.286119,0,0,0,0,0,0,283.286119,0,0,0,283.286119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3966.005666,0,0,0,0,0,0,0
2020,9,Herbicide,400,Medium,0,0,0,0,0,0,0,0,566.572238,0,0,0,0,0,283.286119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1416.430595,0,0,0,0,0,0,0,0,0,3116.147309,0,849.8583569,1133.144476,283.286119,0,0,0
2020,10,Control,100,Low,0,0,0,0,0,283.286119,0,0,0,0,0,0,0,283.286119,0,0,0,0,566.572238,0,0,0,2266.288952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7932.011331,0,0,0,0,0,0,0,0,0,4249.291785,0,1416.430595,1133.144476,283.286119,0,0,0
2020,10,Herbicide,100,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.286119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9631.728045,0,0,0,0,0,0,283.286119,0,283.286119,2832.86119,0,849.8583569,1416.430595,283.286119,0,0,0
